"sura_id","aya_id","count"
77,1,"70"
99,7,"70"
56,73,"70"
46,35,"70"
3,191,"70"
4,77,"70"
33,53,"70"
2,49,"70"
7,27,"70"
3,152,"70"
104,1,"70"
114,5,"70"
4,23,"70"
2,221,"70"
10,24,"70"
20,39,"70"
95,4,"70"
43,15,"70"
48,1,"70"
2,41,"70"
20,12,"70"
17,64,"70"
12,88,"70"
4,174,"70"
2,148,"70"
53,48,"70"
6,105,"70"
19,76,"70"
21,72,"70"
2,27,"70"
57,27,"70"
6,152,"70"
36,12,"70"
8,60,"70"
43,81,"70"
33,23,"70"
4,100,"70"
22,45,"70"
88,5,"70"
7,145,"70"
11,41,"70"
30,41,"70"
7,187,"70"
39,29,"70"
3,106,"70"
7,148,"70"
19,52,"70"
57,12,"70"
8,7,"70"
2,226,"70"
112,1,"70"
97,1,"70"
29,56,"70"
38,3,"70"
12,100,"70"
10,10,"70"
41,44,"70"
6,25,"70"
15,94,"70"
19,71,"70"
11,40,"70"
52,5,"70"
39,33,"70"
2,213,"70"
48,2,"70"
13,4,"70"
37,143,"70"
49,2,"70"
3,195,"70"
5,87,"70"
5,27,"70"
90,4,"70"
41,34,"70"
38,20,"70"
4,102,"70"
27,40,"70"
22,78,"70"
17,8,"70"
11,1,"70"
34,37,"70"
83,26,"70"
34,10,"70"
18,29,"70"
52,23,"70"
3,113,"70"
65,1,"70"
93,3,"70"
6,44,"70"
25,23,"70"
29,17,"70"
17,37,"70"
4,125,"70"
112,4,"70"
6,95,"70"
41,5,"70"
2,284,"70"
7,26,"70"
13,43,"70"
30,30,"70"
24,3,"70"
5,44,"70"
2,76,"70"
5,54,"70"
34,23,"70"
11,77,"70"
5,111,"70"
9,36,"70"
44,3,"70"
61,14,"70"
49,12,"70"
39,68,"70"
9,67,"70"
48,4,"70"
8,25,"70"
91,10,"70"
75,22,"70"
2,210,"70"
13,31,"70"
49,1,"70"
18,24,"70"
9,40,"70"
41,17,"70"
2,80,"70"
12,85,"70"
4,8,"70"
30,39,"70"
20,42,"70"
2,132,"70"
2,236,"70"
11,80,"70"
21,7,"70"
53,11,"70"
18,51,"70"
7,189,"70"
51,21,"70"
87,1,"70"
37,107,"70"
2,274,"70"
93,9,"70"
9,58,"69"
7,205,"69"
9,25,"69"
11,107,"69"
8,75,"69"
6,36,"69"
34,11,"69"
14,5,"69"
9,73,"69"
23,100,"69"
9,74,"69"
15,2,"69"
9,108,"69"
38,58,"69"
16,52,"69"
28,23,"69"
83,1,"69"
40,11,"69"
23,74,"69"
16,69,"69"
39,67,"69"
29,3,"69"
58,11,"69"
4,4,"69"
14,35,"69"
20,130,"69"
2,245,"69"
46,21,"69"
13,28,"69"
6,82,"69"
5,82,"69"
7,56,"69"
5,42,"69"
6,69,"69"
2,67,"69"
2,51,"69"
4,95,"69"
21,30,"69"
51,1,"69"
81,15,"69"
5,83,"69"
13,15,"69"
84,6,"69"
53,8,"69"
35,37,"69"
24,11,"69"
3,161,"69"
6,35,"69"
5,20,"69"
3,193,"69"
50,21,"69"
4,54,"69"
9,79,"69"
5,63,"69"
19,32,"69"
20,10,"69"
18,65,"69"
16,81,"69"
28,30,"69"
21,51,"69"
86,12,"69"
15,19,"69"
38,2,"69"
18,8,"69"
73,7,"69"
4,29,"69"
27,89,"69"
56,9,"69"
19,1,"69"
7,201,"69"
11,46,"69"
12,6,"69"
57,22,"69"
11,109,"69"
20,115,"69"
114,6,"69"
2,97,"69"
16,2,"69"
9,122,"69"
24,1,"69"
89,27,"69"
34,52,"69"
40,19,"69"
52,6,"69"
40,10,"69"
28,10,"69"
55,56,"69"
18,81,"69"
2,193,"69"
38,42,"69"
38,46,"69"
95,2,"69"
89,1,"69"
32,7,"69"
85,3,"69"
3,11,"69"
7,142,"69"
2,239,"69"
8,33,"69"
36,8,"69"
100,1,"69"
3,55,"69"
16,8,"69"
11,88,"69"
7,54,"69"
21,104,"69"
9,103,"69"
6,57,"69"
5,56,"69"
12,52,"69"
28,85,"69"
20,112,"69"
12,30,"69"
5,64,"69"
13,6,"69"
3,18,"69"
6,121,"69"
2,89,"69"
2,129,"69"
2,180,"69"
5,110,"69"
57,23,"69"
47,1,"69"
3,135,"69"
17,80,"69"
30,7,"69"
24,27,"69"
4,105,"69"
9,38,"69"
4,93,"69"
7,57,"69"
19,47,"69"
22,40,"69"
22,11,"69"
19,8,"69"
17,111,"69"
2,75,"69"
74,4,"69"
4,78,"69"
65,2,"69"
52,48,"69"
51,22,"69"
62,3,"69"
6,159,"69"
60,12,"69"
14,22,"69"
4,21,"69"
41,25,"69"
16,53,"69"
21,103,"69"
5,21,"69"
11,84,"69"
18,47,"69"
24,37,"69"
21,96,"69"
21,69,"69"
9,29,"69"
46,4,"69"
37,22,"69"
17,44,"69"
19,31,"69"
37,102,"69"
5,116,"69"
9,8,"69"
5,23,"69"
2,205,"69"
31,27,"69"
2,251,"69"
14,25,"69"
56,1,"69"
7,8,"69"
37,1,"69"
72,1,"69"
53,2,"69"
2,90,"69"
110,2,"69"
12,87,"69"
109,1,"69"
31,18,"69"
6,26,"69"
38,41,"69"
38,25,"69"
94,4,"69"
25,74,"69"
23,72,"69"
38,6,"69"
92,7,"69"
50,16,"69"
42,41,"69"
37,142,"69"
12,24,"69"
36,22,"69"
17,11,"69"
78,31,"69"
3,27,"69"
4,135,"69"
13,39,"69"
81,7,"69"
40,7,"69"
13,2,"69"
41,39,"69"
29,45,"69"
33,37,"69"
31,12,"69"
2,73,"69"
34,12,"69"
28,24,"69"
6,1,"69"
7,53,"69"
47,35,"69"
24,61,"69"
99,2,"69"
9,55,"69"
40,16,"69"
4,12,"69"
6,92,"69"
25,77,"69"
92,4,"69"
9,126,"69"
4,46,"69"
7,32,"69"
20,27,"69"
4,117,"69"
3,153,"69"
19,62,"69"
23,64,"69"
12,19,"69"
17,100,"69"
86,1,"69"
3,33,"69"
43,33,"69"
19,29,"69"
39,73,"69"
9,19,"69"
5,12,"69"
17,1,"69"
10,12,"69"
13,41,"69"
19,98,"69"
7,134,"69"
92,11,"69"
15,99,"69"
17,60,"69"
45,21,"69"
19,4,"69"
12,26,"69"
43,70,"69"
33,7,"69"
39,3,"69"
9,18,"69"
16,126,"69"
6,91,"69"
14,7,"69"
20,107,"69"
74,2,"69"
30,4,"69"
6,99,"69"
111,1,"69"
53,37,"69"
14,16,"69"
98,5,"69"
56,8,"69"
2,47,"69"
19,6,"69"
4,33,"69"
15,16,"69"
2,12,"69"
2,191,"69"
25,67,"69"
3,112,"69"
17,34,"69"
53,18,"69"
3,187,"69"
11,89,"69"
13,36,"69"
38,35,"69"
11,101,"69"
35,34,"69"
18,107,"69"
18,53,"69"
72,16,"69"
2,32,"69"
3,173,"69"
3,45,"69"
39,6,"69"
6,2,"69"
9,100,"69"
18,14,"69"
41,26,"69"
55,46,"69"
83,27,"69"
6,120,"69"
16,48,"69"
16,83,"69"
17,79,"69"
40,3,"69"
11,8,"69"
5,15,"69"
7,1,"69"
6,160,"69"
3,169,"69"
25,62,"69"
3,49,"69"
18,50,"69"
10,58,"69"
99,4,"69"
55,17,"69"
7,167,"69"
50,37,"69"
4,35,"69"
34,39,"69"
18,55,"69"
9,119,"69"
11,91,"69"
10,4,"69"
103,3,"69"
31,32,"69"
11,108,"69"
2,137,"69"
17,70,"69"
25,53,"69"
74,31,"69"
24,39,"69"
37,47,"69"
2,53,"69"
12,94,"69"
11,75,"69"
7,48,"69"
9,46,"69"
17,12,"69"
2,135,"69"
28,46,"69"
93,10,"69"
17,33,"69"
17,74,"69"
76,7,"69"
88,11,"69"
51,6,"69"
84,19,"69"
55,22,"69"
2,247,"69"
19,16,"69"
19,25,"69"
12,110,"69"
33,31,"69"
4,79,"69"
2,171,"69"
34,3,"69"
65,3,"69"
93,8,"69"
54,17,"69"
38,17,"69"
16,90,"69"
16,15,"69"
40,18,"69"
47,38,"69"
3,198,"69"
13,17,"69"
4,141,"69"
10,30,"69"
6,146,"69"
16,62,"69"
16,71,"69"
12,21,"69"
2,271,"69"
6,53,"69"
21,11,"69"
24,40,"69"
11,73,"69"
5,45,"69"
51,9,"69"
44,4,"69"
6,142,"69"
97,5,"69"
18,103,"69"
23,1,"69"
17,101,"69"
8,16,"69"
90,10,"69"
28,76,"69"
6,127,"69"
5,109,"69"
20,15,"68"
76,2,"68"
25,68,"68"
27,61,"68"
50,36,"68"
72,3,"68"
3,2,"68"
3,110,"68"
4,85,"68"
36,39,"68"
24,29,"68"
59,5,"68"
4,56,"68"
19,24,"68"
5,96,"68"
22,1,"68"
50,10,"68"
88,2,"68"
56,55,"68"
56,15,"68"
6,145,"68"
66,5,"68"
2,155,"68"
63,1,"68"
51,59,"68"
78,2,"68"
9,87,"68"
77,5,"68"
77,2,"68"
73,20,"68"
35,1,"68"
6,46,"68"
13,33,"68"
15,18,"68"
3,93,"68"
4,63,"68"
3,15,"68"
2,152,"68"
32,17,"68"
76,1,"68"
18,7,"68"
6,161,"68"
7,85,"68"
21,102,"68"
6,41,"68"
36,40,"68"
25,45,"68"
20,81,"68"
2,82,"68"
4,127,"68"
81,13,"68"
48,10,"68"
45,29,"68"
35,28,"68"
86,7,"68"
56,88,"68"
21,3,"68"
11,120,"68"
15,79,"68"
31,15,"68"
6,122,"68"
21,80,"68"
41,49,"68"
53,22,"68"
18,80,"68"
17,45,"68"
4,157,"68"
16,14,"68"
48,9,"68"
18,22,"68"
30,17,"68"
23,51,"68"
5,75,"68"
2,94,"68"
81,8,"68"
6,6,"68"
18,69,"68"
32,13,"68"
28,78,"68"
20,22,"68"
2,121,"68"
2,4,"68"
51,5,"68"
