quote_id,count,,,
q.36_36_6_6-14,37,,,
q.36_4_2_2-17,37,,,
q.36_6_11_11-5,37,,,
q.36_6_1_1-3,37,,,
q.36_67_4_4-10,37,,,
q.36_6_92_92-5,37,,,
q.36_7_153_153-16,37,,,
q.36_9_1_2-17,37,,,
q.36_17_43_43-10,36,,,
q.36_2_13_13-12,36,,,
q.36_2_264_264-23,36,,,
q.36_25_53_53-11,36,,,
q.36_29_59_59-4,36,,,
q.36_29_66_66-12,36,,,
q.36_29_69_69-18,36,,,
q.36_33_6_6-28,36,,,
q.36_42_11_11-14,36,,,
q.36_57_16_16-5,36,,,
q.36_58_1_1-6,36,,,
q.36_5_97_99-9,36,,,
q.36_89_8_8-4,36,,,
q.36_9_85_85-7,36,,,
q.36_106_1_1-2,35,,,
q.36_12_23_23-5,35,,,
q.36_12_52_52-7,35,,,
q.36_16_54_55-13,35,,,
q.36_16_64_65-16,35,,,
q.36_18_64_65-28,35,,,
q.36_29_6_6-6,35,,,
q.36_41_39_39-11,35,,,
q.36_10_64_64-12,34,,,
q.36_11_119_119-4,34,,,
q.36_12_33_33-4,34,,,
q.36_12_55_55-20,34,,,
q.36_13_23_23-6,34,,,
q.36_16_48_49-22,34,,,
q.36_17_30_30-5,34,,,
q.36_19_11_12-18,34,,,
q.36_2_147_147-6,34,,,
q.36_22_74_74-5,34,,,
q.36_23_115_115-6,34,,,
q.36_2_39_39-11,34,,,
q.36_26_207_207-2,34,,,
q.36_3_180_180-14,34,,,
q.36_33_51_51-15,34,,,
q.36_33_6_6-29,34,,,
q.36_3_6_6-7,34,,,
q.36_36_9_9-11,34,,,
q.36_39_8_8-8,34,,,
q.36_40_85_85-11,34,,,
q.36_54_1_1-11,34,,,
q.36_54_17_17-5,34,,,
q.36_57_29_29-10,34,,,
q.36_7_171_171-10,34,,,
q.36_8_4_4-8,34,,,
q.36_10_109_109-11,33,,,
q.36_113_5_5-3,33,,,
q.36_11_80_80-6,33,,,
q.36_12_54_54-13,33,,,
q.36_12_55_55-9,33,,,
q.36_14_7_7-31,33,,,
q.36_15_19_19-3,33,,,
q.36_16_42_42-4,33,,,
q.36_16_68_69-20,33,,,
q.36_17_60_60-10,33,,,
q.36_18_81_81-6,33,,,
q.36_22_14_14-4,33,,,
q.36_2_25_25-7,33,,,
q.36_2_264_264-16,33,,,
q.36_23_96_96-4,33,,,
q.36_24_11_11-16,33,,,
q.36_24_62_62-18,33,,,
q.36_27_35_36-7,33,,,
q.36_2_79_79-16,33,,,
q.36_28_55_55-12,33,,,
q.36_2_96_96-13,33,,,
q.36_2_96_96-14,33,,,
q.36_31_32_32-10,33,,,
q.36_3_185_185-15,33,,,
q.36_33_58_58-8,33,,,
q.36_35_37_37-14,33,,,
q.36_36_12_12-8,33,,,
q.36_4_14_14-6,33,,,
q.36_41_53_53-9,33,,,
q.36_4_17_17-14,33,,,
q.36_4_35_35-16,33,,,
q.36_50_22_22-5,33,,,
q.36_53_42_42-2,33,,,
q.36_6_12_12-10,33,,,
q.36_63_7_7-10,33,,,
q.36_7_206_206-21,33,,,
q.36_7_26_26-15,33,,,
q.36_74_51_51-2,33,,,
q.36_7_66_66-2,33,,,
q.36_89_16_16-7,33,,,
q.36_9_36_36-22,33,,,
q.36_97_2_3-13,33,,,
q.36_9_89_89-10,33,,,
q.36_12_108_108-8,32,,,
q.36_12_68_68-7,32,,,
q.36_14_47_47-5,32,,,
q.36_17_1_1-39,32,,,
q.36_17_79_79-12,32,,,
q.36_17_79_79-13,32,,,
q.36_18_81_81-7,32,,,
q.36_18_8_8-8,32,,,
q.36_18_91_91-5,32,,,
q.36_20_1_1-4,32,,,
q.36_20_46_46-4,32,,,
q.36_20_55_55-6,32,,,
q.36_2_188_188-12,32,,,
q.36_2_242_242-8,32,,,
q.36_2_265_265-19,32,,,
q.36_2_57_57-13,32,,,
q.36_2_86_86-9,32,,,
q.36_2_95_95-9,32,,,
q.36_3_189_189-8,32,,,
q.36_3_199_199-20,32,,,
q.36_33_6_6-6,32,,,
q.36_35_15_15-2,32,,,
q.36_3_76_76-9,32,,,
q.36_40_71_72-5,32,,,
q.36_42_22_22-5,32,,,
q.36_4_48_48-11,32,,,
q.36_50_36_36-10,32,,,
q.36_5_14_14-11,32,,,
q.36_5_17_17-11,32,,,
q.36_53_32_32-20,32,,,
q.36_5_3_3-33,32,,,
q.36_5_69_69-14,32,,,
q.36_59_21_21-14,32,,,
q.36_6_131_131-10,32,,,
q.36_75_23_23-2,32,,,
q.36_9_123_123-13,32,,,
q.36_9_72_72-11,32,,,
q.36_10_36_36-7,31,,,
q.36_12_101_101-11,31,,,
q.36_12_30_31-45,31,,,
q.36_12_83_83-8,31,,,
q.36_14_18_18-11,31,,,
q.36_15_2_2-7,31,,,
q.36_16_47_47-3,31,,,
q.36_1_6_6-5,31,,,
q.36_19_57_57-3,31,,,
q.36_21_25_25-3,31,,,
q.36_21_79_79-7,31,,,
q.36_2_18_20-7,31,,,
q.36_21_90_90-10,31,,,
q.36_2_194_194-9,31,,,
q.36_23_19_19-11,31,,,
q.36_24_22_22-14,31,,,
q.36_25_24_24-11,31,,,
q.36_25_64_64-13,31,,,
q.36_26_51_51-5,31,,,
q.36_27_35_36-8,31,,,
q.36_27_75_75-5,31,,,
q.36_28_25_25-11,31,,,
q.36_30_27_27-17,31,,,
q.36_30_37_37-7,31,,,
q.36_3_179_179-19,31,,,
q.36_32_16_17-9,31,,,
q.36_33_23_23-13,31,,,
q.36_36_53_53-8,31,,,
q.36_38_40_40-4,31,,,
