"sura_id","aya_id","avg_aya_tokens"
6,1,"537.7710406340841"
62,10,"537.7001836547291"
2,28,"537.3547075451186"
2,41,"537.0993310657597"
6,145,"536.3386968423733"
2,203,"535.7603520110562"
3,103,"534.0789469138062"
2,251,"532.6412154218394"
3,200,"529.9281146631147"
4,158,"525.7396164277114"
2,273,"523.3441065642154"
2,248,"522.6053126400035"
7,156,"522.5269568092936"
24,4,"519.6850635203576"
2,267,"517.9706178416322"
2,4,"516.6717349439775"
2,74,"516.5653811759445"
49,11,"514.0458730158731"
60,10,"512.6785352379102"
24,30,"507.02775443510734"
6,91,"506.96217948717947"
7,172,"506.4715476011147"
2,195,"504.2473544973544"
5,102,"503.21954365079364"
9,118,"503.17810883783926"
4,22,"501.9958257095941"
5,48,"501.38706074832834"
7,180,"501.1340822440086"
3,159,"499.92060037386125"
4,32,"499.4096288515406"
4,5,"498.81574986316366"
5,38,"498.7456057623969"
3,13,"496.85803545660696"
2,188,"495.08486140724943"
2,243,"494.50390257029625"
4,86,"493.9698052370854"
4,127,"492.26228967831474"
3,144,"491.92384319384325"
33,9,"491.8013113592061"
2,114,"491.38946078431366"
24,5,"491.03304331833755"
6,125,"490.722797177737"
2,8,"489.8727297545961"
9,28,"489.6323307479558"
3,152,"488.5798105276367"
2,246,"488.5749809168289"
33,37,"488.07734420784305"
18,82,"488.05289978823646"
21,79,"487.6291454331179"
5,93,"487.38415067519543"
2,216,"487.16452380952387"
2,232,"486.22578921806695"
6,52,"485.6086069069743"
2,231,"485.57320705844256"
5,116,"484.58310276679845"
5,12,"483.11395790200135"
4,159,"482.36366236936954"
4,48,"480.37569765874264"
3,37,"480.1573897933053"
7,142,"479.81056292077636"
60,12,"478.82661384509214"
6,103,"477.6558457956185"
7,57,"476.9387392143527"
4,35,"475.39842995169084"
2,85,"475.1363852813851"
7,145,"474.97561610354074"
2,165,"474.96755228339737"
62,11,"473.33396464646466"
5,108,"472.80199052739385"
3,26,"472.41564795072253"
2,214,"472.30882352941177"
3,19,"471.2561505244341"
